ticker,year,amount,anchor_end
TRN,2026,1096100000.0,2025-12-31
TRN,2027,680400000.0,2025-12-31
TRN,2028,1679800000.0,2025-12-31
TRN,2029,259000000.0,2025-12-31
TRN,2030,938000000.0,2025-12-31
TRN,2031,813200000.0,2025-12-31
TWO,2026,7598256000.0,2025-12-31
TWO,2027,567731000.0,2025-12-31
TWO,2028,0.0,2025-12-31
TWO,2029,280140000.0,2025-12-31
TWO,2030,111055000.0,2025-12-31
VAC,2026,583000000.0,2025-12-31
VAC,2027,583000000.0,2025-12-31
VAC,2028,358000000.0,2025-12-31
VAC,2029,508000000.0,2025-12-31
VAC,2030,8000000.0,2025-12-31
VAC,2031,1323000000.0,2025-12-31
VSAT,2026,503825000.0,2025-03-31
VSAT,2027,334084000.0,2025-03-31
VSAT,2028,631682000.0,2025-03-31
VSAT,2029,1085049000.0,2025-03-31
VSAT,2030,3223016000.0,2025-03-31
VSAT,2031,1426619000.0,2025-03-31
