ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense,fiscal_year
ACA,2019-12-31,annual,130600000.0,9200000.0,100000000.0,240400000.0,-109800000.0,6800000.0,2019
ACA,2020-12-31,annual,254500000.0,6300000.0,248200000.0,95800000.0,158700000.0,10600000.0,2020
ACA,2021-12-31,annual,707300000.0,19600000.0,664700000.0,72900000.0,634400000.0,23400000.0,2021
ACA,2022-12-31,annual,587200000.0,21400000.0,535900000.0,160400000.0,426800000.0,31000000.0,2022
ACA,2023-12-31,annual,606800000.0,15200000.0,561900000.0,104800000.0,502000000.0,28100000.0,2023
ACA,2024-12-31,annual,1752200000.0,12100000.0,1676800000.0,187300000.0,1564900000.0,70900000.0,2024
ACA,2025-12-31,annual,1522800000.0,8500000.0,1514300000.0,214600000.0,1308200000.0,108800000.0,2025
ACAD,2018-12-31,annual,,,,473520000.0,-134758000.0,0.0,2018
ACAD,2019-12-31,annual,9795000.0,3434000.0,,697429000.0,-179885000.0,14928000.0,2019
ACAD,2020-12-31,annual,49547000.0,5087000.0,,631958000.0,-276481000.0,8545000.0,2020
ACAD,2021-12-31,annual,64430000.0,8304000.0,,520706000.0,-83005000.0,6264000.0,2021
ACAD,2022-12-31,annual,62000000.0,9305000.0,,416823000.0,-52846000.0,6610000.0,2022
ACAD,2023-12-31,annual,57205000.0,9405000.0,,438865000.0,-131452000.0,,2023
ACAD,2024-12-31,annual,51995000.0,9958000.0,,755993000.0,-267594000.0,,2024
ACAD,2025-12-31,annual,52187000.0,11633000.0,,819686000.0,-125508000.0,,2025
ACHC,2018-12-31,annual,3193487000.0,34112000.0,3159375000.0,50510000.0,3142977000.0,185410000.0,2018
ACHC,2019-12-31,annual,3256626000.0,65563000.0,3105420000.0,99535000.0,3157091000.0,187325000.0,2019
ACHC,2020-12-31,annual,3257559000.0,204582000.0,2968948000.0,378697000.0,2878862000.0,158105000.0,2020
ACHC,2021-12-31,annual,1638399000.0,42932000.0,1478626000.0,133813000.0,1504586000.0,76993000.0,2021
ACHC,2022-12-31,annual,1529673000.0,48703000.0,1364541000.0,97649000.0,1432024000.0,69760000.0,2022
ACHC,2023-12-31,annual,1510729000.0,56477000.0,1342548000.0,100073000.0,1410656000.0,82125000.0,2023
ACHC,2024-12-31,annual,2085288000.0,103367000.0,1880093000.0,76305000.0,2008983000.0,116368000.0,2024
ACHC,2025-12-31,annual,2654892000.0,50687000.0,2471529000.0,133242000.0,2521650000.0,138864000.0,2025
ACIW,2018-12-31,annual,671756000.0,20767000.0,650989000.0,148502000.0,523254000.0,41530000.0,2018
ACIW,2019-12-31,annual,1434970000.0,49197000.0,1339007000.0,121398000.0,1313572000.0,64033000.0,2019
ACIW,2020-12-31,annual,1208403000.0,47703000.0,1120742000.0,165374000.0,1043029000.0,56630000.0,2020
ACIW,2021-12-31,annual,1120606000.0,57388000.0,1019872000.0,122059000.0,998547000.0,45060000.0,2021
ACIW,2022-12-31,annual,1135000000.0,76739000.0,1024351000.0,124981000.0,1010019000.0,53193000.0,2022
ACIW,2023-12-31,annual,1076426000.0,83753000.0,963599000.0,164239000.0,912187000.0,78486000.0,2023
ACIW,2024-12-31,annual,956434000.0,44193000.0,889649000.0,216394000.0,740040000.0,72471000.0,2024
ACIW,2025-12-31,annual,871682000.0,49797000.0,776667000.0,196462000.0,675220000.0,57847000.0,2025
ACLS,2018-12-31,annual,48219000.0,462000.0,,177993000.0,-130236000.0,5110000.0,2018
ACLS,2019-12-31,annual,48548000.0,399000.0,,139881000.0,-91333000.0,5155000.0,2019
ACLS,2020-12-31,annual,48149000.0,756000.0,,203479000.0,-155330000.0,5211000.0,2020
ACLS,2021-12-31,annual,47394000.0,979000.0,,294923000.0,-247529000.0,4835000.0,2021
ACLS,2022-12-31,annual,46414000.0,1229000.0,,432166000.0,-139181000.0,5576000.0,2022
ACLS,2023-12-31,annual,45185000.0,1511000.0,,506148000.0,-122112000.0,5347000.0,2023
ACLS,2024-12-31,annual,43674000.0,1345000.0,,571343000.0,-79838000.0,5462000.0,2024
ACLS,2025-12-31,annual,42329000.0,1575000.0,,374253000.0,-103122000.0,5364000.0,2025
ACMR,2018-12-31,annual,9447000.0,9447000.0,,27124000.0,-17677000.0,498000.0,2018
ACMR,2019-12-31,annual,17640000.0,15108000.0,,58261000.0,-40621000.0,745000.0,2019
ACMR,2020-12-31,annual,50014000.0,29155000.0,17979000.0,100005000.0,-21752000.0,982000.0,2020
ACMR,2021-12-31,annual,39140000.0,14314000.0,22957000.0,592046000.0,-523408000.0,765000.0,2021
ACMR,2022-12-31,annual,79502000.0,59708000.0,18687000.0,338652000.0,-168449000.0,1655000.0,2022
ACMR,2023-12-31,annual,99096000.0,40882000.0,53952000.0,283926000.0,-82994000.0,2681000.0,2023
ACMR,2024-12-31,annual,188783000.0,79418000.0,105525000.0,444095000.0,-218662000.0,4151000.0,2024
ACMR,2025-12-31,annual,302977000.0,113909000.0,178930000.0,1168077000.0,-462985000.0,6955000.0,2025
ACT,2018-12-31,annual,,,,159051000.0,-159051000.0,0.0,2018
ACT,2019-12-31,annual,46800000.0,,,585058000.0,-538258000.0,0.0,2019
ACT,2020-12-31,annual,775512000.0,51456000.0,738162000.0,452794000.0,322718000.0,18244000.0,2020
ACT,2021-12-31,annual,775816000.0,,740416000.0,425828000.0,349988000.0,51009000.0,2021
ACT,2022-12-31,annual,771257000.0,3443000.0,742830000.0,513775000.0,257482000.0,51699000.0,2022
ACT,2023-12-31,annual,768684000.0,3800000.0,745416000.0,615683000.0,153001000.0,51867000.0,2023
ACT,2024-12-31,annual,760319000.0,3885000.0,743050000.0,599432000.0,160887000.0,51157000.0,2024
ACT,2025-12-31,annual,744481000.0,,744481000.0,582493000.0,161988000.0,49949000.0,2025
ADEA,2018-12-31,annual,482193000.0,,482193000.0,154364000.0,368568000.0,25665000.0,2018
ADEA,2019-12-31,annual,353938000.0,5845000.0,334679000.0,121477000.0,279387000.0,23377000.0,2019
ADEA,2020-12-31,annual,923486000.0,61582000.0,795661000.0,257135000.0,753298000.0,37873000.0,2020
ADEA,2021-12-31,annual,772870000.0,37837000.0,729392000.0,140962000.0,692442000.0,38973000.0,2021
ADEA,2022-12-31,annual,736295000.0,111921000.0,619580000.0,114555000.0,621740000.0,45335000.0,2022
ADEA,2023-12-31,annual,595928000.0,66648000.0,519550000.0,83572000.0,541368000.0,62574000.0,2023
ADEA,2024-12-31,annual,485417000.0,21502000.0,454435000.0,110392000.0,406592000.0,52539000.0,2024
ADEA,2025-12-31,annual,435922000.0,20975000.0,397479000.0,136733000.0,362786000.0,40359000.0,2025
ADMA,2018-12-31,annual,44224077.0,59966.0,29200830.0,22754852.0,21469225.0,5522783.0,2018
ADMA,2019-12-31,annual,84730650.0,229073.0,68291163.0,26752135.0,57978515.0,8993379.0,2019
ADMA,2020-12-31,annual,97668699.0,365682.0,92968866.0,55921152.0,41747547.0,11985066.0,2020
ADMA,2021-12-31,annual,102919711.0,591084.0,94866239.0,51089118.0,51830593.0,13056834.0,2021
ADMA,2022-12-31,annual,154442000.0,905000.0,142833063.0,86522000.0,67920000.0,19279373.0,2022
ADMA,2023-12-31,annual,141418000.0,1045000.0,130594000.0,51352000.0,90066000.0,25027000.0,2023
ADMA,2024-12-31,annual,82116000.0,1218000.0,72337000.0,103147000.0,-21031000.0,13930000.0,2024
ADMA,2025-12-31,annual,79885000.0,3909000.0,69330000.0,87630000.0,-7745000.0,7110000.0,2025
ADNT,2018-09-30,annual,3430000000.0,8000000.0,3422000000.0,687000000.0,2743000000.0,144000000.0,2018
ADNT,2019-09-30,annual,3738000000.0,30000000.0,3708000000.0,924000000.0,2814000000.0,198000000.0,2019
ADNT,2020-09-30,annual,4307000000.0,210000000.0,4097000000.0,1692000000.0,2615000000.0,235000000.0,2020
ADNT,2021-09-30,annual,3696000000.0,184000000.0,3512000000.0,1521000000.0,2175000000.0,258000000.0,2021
ADNT,2022-09-30,annual,2578000000.0,14000000.0,2564000000.0,947000000.0,1631000000.0,188000000.0,2022
ADNT,2023-09-30,annual,2535000000.0,134000000.0,2401000000.0,1110000000.0,1425000000.0,203000000.0,2023
ADNT,2024-09-30,annual,2405000000.0,9000000.0,2396000000.0,945000000.0,1460000000.0,191000000.0,2024
ADNT,2025-09-30,annual,2397000000.0,11000000.0,2386000000.0,958000000.0,1439000000.0,205000000.0,2025
ADT,2018-12-31,annual,10002112000.0,58000000.0,9944112000.0,363000000.0,9639000000.0,663000000.0,2018
ADT,2019-12-31,annual,9692226000.0,58000000.0,9634226000.0,49000000.0,9643000000.0,619573000.0,2019
ADT,2020-12-31,annual,9523233000.0,75453000.0,9447780000.0,205000000.0,9318235000.0,708189000.0,2020
ADT,2021-12-31,annual,9693098000.0,118000000.0,9575098000.0,24000000.0,9669000000.0,456825000.0,2021
ADT,2022-12-31,annual,9825084000.0,878365000.0,8957000000.0,257000000.0,9567861000.0,265000000.0,2022
ADT,2023-12-31,annual,7841496000.0,328040000.0,7523349000.0,14621000.0,7826875000.0,569915000.0,2023
ADT,2024-12-31,annual,7805442000.0,216068000.0,7511282000.0,204065000.0,7610861000.0,441031000.0,2024
ADT,2025-12-31,annual,7689000000.0,310000000.0,7379430000.0,81000000.0,7608000000.0,459000000.0,2025
ADUS,2018-12-31,annual,17284000.0,62000.0,17222000.0,70406000.0,-53122000.0,5016000.0,2018
ADUS,2019-12-31,annual,59892000.0,728000.0,59164000.0,111714000.0,-51822000.0,3105000.0,2019
ADUS,2020-12-31,annual,239671000.0,10254000.0,193901000.0,145078000.0,94593000.0,3189000.0,2020
ADUS,2021-12-31,annual,263545000.0,9774000.0,220912000.0,168895000.0,94650000.0,5806000.0,2021
ADUS,2022-12-31,annual,178052000.0,10801000.0,131772000.0,79961000.0,98091000.0,8907000.0,2022
ADUS,2023-12-31,annual,175182000.0,11339000.0,124132000.0,64791000.0,110391000.0,11106000.0,2023
ADUS,2024-12-31,annual,273126000.0,12800000.0,218443000.0,98911000.0,174215000.0,7732000.0,2024
ADUS,2025-12-31,annual,208621000.0,13144000.0,120959000.0,81617000.0,127004000.0,9583000.0,2025
AEO,2018-01-31,annual,109273000.0,109273000.0,0.0,413613000.0,-413613000.0,0.0,2018
AEO,2019-01-31,annual,20064000.0,20064000.0,,425465000.0,-333330000.0,0.0,2019
AEO,2020-01-31,annual,1600896000.0,299161000.0,,416930000.0,1238966000.0,149055000.0,2020
AEO,2021-01-31,annual,1802656000.0,328624000.0,325290000.0,850477000.0,952179000.0,24610000.0,2021
AEO,2022-01-31,annual,1806488000.0,311005000.0,341002000.0,434770000.0,1371718000.0,34632000.0,2022
AEO,2023-01-31,annual,1367369000.0,337258000.0,8911000.0,170209000.0,1197160000.0,79018000.0,2023
AEO,2024-01-31,annual,1185630000.0,284508000.0,0.0,454094000.0,831536000.0,1180000.0,2024
AEO,2025-01-31,annual,1446330000.0,313034000.0,,358962000.0,1137368000.0,1200000.0,2025
AEO,2026-01-31,annual,1733124000.0,318078000.0,,238923000.0,1494201000.0,4112000.0,2026
AGO,2018-12-31,annual,1233000000.0,0.0,1233000000.0,10922000000.0,1129000000.0,94000000.0,2018
AGO,2019-12-31,annual,1255000000.0,20000000.0,1235000000.0,10291000000.0,1066000000.0,89000000.0,2019
AGO,2020-12-31,annual,1244000000.0,20000000.0,1224000000.0,9786000000.0,1062000000.0,85000000.0,2020
AGO,2021-12-31,annual,1696000000.0,23000000.0,1673000000.0,9547000000.0,1553000000.0,87000000.0,2021
AGO,2022-12-31,annual,1698000000.0,23000000.0,1675000000.0,8036000000.0,1568000000.0,81000000.0,2022
AGO,2023-12-31,annual,1694000000.0,16000000.0,1694000000.0,8065000000.0,1597000000.0,88000000.0,2023
AGO,2024-12-31,annual,1699000000.0,13000000.0,1699000000.0,2465000000.0,1578000000.0,91000000.0,2024
AGO,2025-12-31,annual,1704000000.0,13000000.0,1704000000.0,6757000000.0,1316000000.0,89000000.0,2025
AGX,2018-01-31,annual,0.0,0.0,0.0,434015000.0,-122107000.0,4145000.0,2018
AGX,2019-01-31,annual,0.0,0.0,,296531000.0,-164318000.0,4166000.0,2019
AGX,2020-01-31,annual,2210000.0,1574000.0,,327862000.0,-167363000.0,8075000.0,2020
AGX,2021-01-31,annual,2106000.0,2106000.0,,456726000.0,-366671000.0,0.0,2021
AGX,2022-01-31,annual,1367000.0,1367000.0,,440498000.0,-349105000.0,10712000.0,2022
AGX,2023-01-31,annual,1567000.0,1567000.0,,325458000.0,-172380000.0,6440000.0,2023
AGX,2024-01-31,annual,2726000.0,2726000.0,,412405000.0,-194306000.0,,2024
AGX,2025-01-31,annual,2710000.0,2710000.0,,525137000.0,-142553000.0,,2025
AGX,2026-01-31,annual,6387000.0,2516000.0,,894981000.0,-333094000.0,,2026
AGYS,2018-03-31,annual,177000.0,120000.0,57000.0,39943000.0,-39766000.0,10000.0,2018
AGYS,2019-03-31,annual,57000.0,22000.0,,40771000.0,-40714000.0,10000.0,2019
AGYS,2020-03-31,annual,15385000.0,4743000.0,,46653000.0,-31268000.0,9000.0,2020
AGYS,2021-03-31,annual,13631000.0,5028000.0,,99180000.0,-85549000.0,20000.0,2021
AGYS,2022-03-31,annual,10704000.0,5053000.0,,96971000.0,-86267000.0,12000.0,2022
AGYS,2023-03-31,annual,16742000.0,3265000.0,,112842000.0,-96100000.0,2889000.0,2023
AGYS,2024-03-31,annual,23892000.0,4279000.0,,144891000.0,-120999000.0,0.0,2024
AGYS,2025-03-31,annual,46962000.0,5658000.0,24000000.0,73041000.0,-26079000.0,1529000.0,2025
AHCO,2018-12-31,annual,155171570.0,27904380.0,127094723.0,947098.0,154224472.0,4149617.0,2018
AHCO,2019-12-31,annual,397004700.0,1660000.0,395111563.0,9768000.0,151600000.0,39304000.0,2019
AHCO,2020-12-31,annual,806996000.0,30428000.0,776568000.0,99962000.0,707034000.0,41430000.0,2020
AHCO,2021-12-31,annual,2370596000.0,66864000.0,2183552000.0,149627000.0,2220969000.0,95195000.0,2021
AHCO,2022-12-31,annual,2328823000.0,67212000.0,2153267000.0,46272000.0,2282551000.0,109414000.0,2022
AHCO,2023-12-31,annual,2294649000.0,91760000.0,2094614000.0,77132000.0,2217517000.0,130299000.0,2023
AHCO,2024-12-31,annual,2130336000.0,60510000.0,1964921000.0,109747000.0,2020589000.0,126668000.0,2024
AHCO,2025-12-31,annual,1902800000.0,68743000.0,1715983000.0,106136000.0,1796664000.0,105753000.0,2025
AIN,2018-12-31,annual,524931000.0,1224000.0,523707000.0,197755000.0,327176000.0,20805000.0,2018
AIN,2019-12-31,annual,466973000.0,5878000.0,424009000.0,195540000.0,271433000.0,21009000.0,2019
