pct,n,debt_usd_b,share
1,4,78.134097,12.869904710563118
5,21,207.482851,34.17566240569678
10,42,296.769767999,48.882610560189285
25,106,438.098388999,72.16163924270275
50,212,553.845900413,91.22706009709614
100,423,607.107035811,100.0
