ticker,entity_name,cik,period_end,fy,form,filed,y1,y2,y3,y4,y5,yGT5,rem,total_in_table,n_buckets,due_within_2y,due_within_5y,pct_due_within_2y,pct_due_within_5y
OGN,Organon & Co.,1821825,2025-12-31,2025.0,10-K,2026-02-24,10000000.0,10000000.0,3580000000.0,10000000.0,21000000.0,5071000000.0,,8702000000.0,6,20000000.0,3631000000.0,0.0022983222247759134,0.4172603999080671
OI,"O-I GLASS, INC.",812074,2025-12-31,2025.0,10-K,2026-02-12,66000000.0,693000000.0,781000000.0,657000000.0,1086000000.0,1620000000.0,,4903000000.0,6,759000000.0,3283000000.0,0.1548031817254742,0.6695900469100551
PENN,"PENN ENTERTAINMENT, INC.",921738,2025-12-31,2025.0,10-K,2026-02-26,145000000.0,1407000000.0,10800000.0,1335800000.0,800000.0,4700000.0,,2904100000.0,6,1552000000.0,2899400000.0,0.5344168589235908,0.9983815984298061
PMT,PennyMac Mortgage Investment Trust,1464423,,,,,,,,,,,,0.0,0,0.0,0.0,,
RHP,"RYMAN HOSPITALITY PROPERTIES, INC.",1040829,2025-12-31,2025.0,10-K,2026-02-24,7242000.0,707242000.0,407242000.0,607242000.0,282423000.0,2028735000.0,,4040126000.0,6,714484000.0,2011391000.0,0.17684695972353337,0.4978535322908246
RITM,Rithm Capital Corp.,1556593,2025-12-31,2025.0,10-K,2026-02-19,16436995000.0,4387098000.0,1824870000.0,4795827000.0,2457637000.0,,,29902427000.0,5,20824093000.0,29902427000.0,0.6964014325659921,1.0
RUN,SUNRUN INC.,1469367,2025-12-31,2025.0,10-K,2026-02-26,294093000.0,1401577000.0,2543717000.0,1353503000.0,1869997000.0,7396340000.0,,14859227000.0,6,1695670000.0,7462887000.0,0.11411562660695607,0.5022392483808209
RWT,"REDWOOD TRUST, INC.",930236,,,,,,,,,,,,0.0,0,0.0,0.0,,
SABR,Sabre Corp,1597033,2025-12-31,2025.0,10-K,2026-02-18,247665000.0,206500000.0,4500000.0,2278565000.0,1794802000.0,,,4532032000.0,5,454165000.0,4532032000.0,0.10021222268510019,1.0
SAFE,Safehold Inc.,1095651,2025-12-31,2025.0,10-K,2026-02-12,0.0,10000000.0,79193000.0,780000000.0,400000000.0,3371398000.0,,4640591000.0,6,10000000.0,1269193000.0,0.0021548979429559727,0.27349813849141197
SAH,"SONIC AUTOMOTIVE, INC.",1043509,2016-12-31,2016.0,10-K,2017-02-27,43127000.0,55986000.0,19605000.0,51523000.0,45434000.0,681589000.0,,897264000.0,6,99113000.0,215675000.0,0.11046135808413131,0.2403696125109221
SLG,SL Green Realty Corp.,1040971,2025-12-31,2025.0,10-K,2026-02-17,655148000.0,2569277000.0,284550000.0,177000000.0,0.0,358524000.0,,4044499000.0,6,3224425000.0,3685975000.0,0.7972371856192819,0.9113551517752879
TRN,"Trinity Industries, Inc.",99780,2025-12-31,2025.0,10-K,2026-02-19,1096100000.0,680400000.0,1679800000.0,259000000.0,938000000.0,813200000.0,,5466500000.0,6,1776500000.0,4653300000.0,0.3249794201042715,0.8512393670538736
TWO,TWO HARBORS INVESTMENT CORP.,1465740,2025-12-31,2025.0,10-K,2026-02-17,7598256000.0,567731000.0,0.0,280140000.0,111055000.0,,,8557182000.0,5,8165987000.0,8557182000.0,0.9542845997666054,1.0
UNIT,Uniti Group Inc.,0002020795,,,,,,,,,,,,0.0,0,0.0,0.0,,
VAC,Marriott Vacations Worldwide Corp,1524358,2025-12-31,2025.0,10-K,2026-03-02,583000000.0,583000000.0,358000000.0,508000000.0,8000000.0,1323000000.0,,3363000000.0,6,1166000000.0,2040000000.0,0.34671424323520666,0.6066012488849242
VSAT,"VIASAT, INC.",797721,2025-03-31,2025.0,10-K,2025-05-27,503825000.0,334084000.0,631682000.0,1085049000.0,3223016000.0,1426619000.0,,7204275000.0,6,837909000.0,5777656000.0,0.11630719260439114,0.8019760489431622
