ticker,fy,period_end,bucket,year,amount,tag,filed,form
CWEN-A,2025,2025-12-31,yGT5,2031.0,3291000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-24,10-K
CWEN,2025,2025-12-31,y1,2026.0,1139000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-24,10-K
CWEN,2025,2025-12-31,y2,2027.0,364000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-24,10-K
CWEN,2025,2025-12-31,y3,2028.0,2022000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-24,10-K
CWEN,2025,2025-12-31,y4,2029.0,863000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-24,10-K
CWEN,2025,2025-12-31,y5,2030.0,995000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-24,10-K
CWEN,2025,2025-12-31,yGT5,2031.0,3291000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-24,10-K
CZR,2025,2025-12-31,y1,2026.0,114000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-17,10-K
CZR,2025,2025-12-31,y2,2027.0,114000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-17,10-K
CZR,2025,2025-12-31,y3,2028.0,805000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-17,10-K
CZR,2025,2025-12-31,y4,2029.0,1574000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-17,10-K
CZR,2025,2025-12-31,y5,2030.0,3962000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-17,10-K
CZR,2025,2025-12-31,yGT5,2031.0,5336000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-17,10-K
