ticker,year,amount,anchor_end
AAP,2020,0.0,2019-12-28
AAP,2021,0.0,2019-12-28
AAP,2022,300000000.0,2019-12-28
AAP,2023,450000000.0,2019-12-28
AAP,2024,0.0,2019-12-28
AAP,2025,0.0,2019-12-28
ABR,2020,1629115000.0,2019-12-31
ABR,2021,495601000.0,2019-12-31
ABR,2022,1479600000.0,2019-12-31
ABR,2023,496049000.0,2019-12-31
ABR,2024,215154000.0,2019-12-31
ABR,2025,363344000.0,2019-12-31
BXMT,2025,1002154000.0,2019-12-31
CE,2020,496000000.0,2019-12-31
CE,2021,429000000.0,2019-12-31
CE,2022,525000000.0,2019-12-31
CE,2023,859000000.0,2019-12-31
CE,2024,533000000.0,2019-12-31
CE,2025,1081000000.0,2019-12-31
CWEN,2020,1832000000.0,2019-12-31
CWEN,2021,249000000.0,2019-12-31
CWEN,2022,478000000.0,2019-12-31
CWEN,2023,319000000.0,2019-12-31
CWEN,2024,129000000.0,2019-12-31
CWEN,2025,3851000000.0,2019-12-31
CWEN-A,2020,1832000000.0,2019-12-31
CWEN-A,2021,249000000.0,2019-12-31
CWEN-A,2022,478000000.0,2019-12-31
CWEN-A,2023,319000000.0,2019-12-31
CWEN-A,2024,129000000.0,2019-12-31
CWEN-A,2025,3851000000.0,2019-12-31
CZR,2020,246175000.0,2019-12-31
CZR,2021,207000.0,2019-12-31
CZR,2022,178000.0,2019-12-31
CZR,2023,375138000.0,2019-12-31
CZR,2024,498900000.0,2019-12-31
CZR,2025,1476705000.0,2019-12-31
DXC,2020,766000000.0,2019-03-31
DXC,2021,1221000000.0,2019-03-31
DXC,2022,722000000.0,2019-03-31
DXC,2023,547000000.0,2019-03-31
DXC,2024,21000000.0,2019-03-31
DXC,2025,2314000000.0,2019-03-31
GPI,2020,58200000.0,2019-12-31
GPI,2021,75100000.0,2019-12-31
GPI,2022,598700000.0,2019-12-31
GPI,2023,374500000.0,2019-12-31
GPI,2024,152800000.0,2019-12-31
GPI,2025,242400000.0,2019-12-31
HTZ,2020,2438000000.0,2019-12-31
HTZ,2021,6294000000.0,2019-12-31
HTZ,2022,2281000000.0,2019-12-31
HTZ,2023,2379000000.0,2019-12-31
HTZ,2024,2351000000.0,2019-12-31
HTZ,2025,1427000000.0,2019-12-31
JBLU,2020,341000000.0,2019-12-31
JBLU,2021,340000000.0,2019-12-31
JBLU,2022,319000000.0,2019-12-31
JBLU,2023,298000000.0,2019-12-31
JBLU,2024,169000000.0,2019-12-31
JBLU,2025,867000000.0,2019-12-31
LKQ,2020,326648000.0,2019-12-31
LKQ,2021,133951000.0,2019-12-31
LKQ,2022,25912000.0,2019-12-31
LKQ,2023,21650000.0,2019-12-31
LKQ,2024,2427714000.0,2019-12-31
LKQ,2025,1136151000.0,2019-12-31
MPT,2022,760650000.0,2019-12-31
MPT,2023,530280000.0,2019-12-31
MPT,2024,1642520000.0,2019-12-31
NWL,2020,334500000.0,2019-12-31
NWL,2021,435700000.0,2019-12-31
NWL,2022,253600000.0,2019-12-31
NWL,2023,1395100000.0,2019-12-31
NWL,2024,201200000.0,2019-12-31
NWL,2025,3135300000.0,2019-12-31
OI,2020,49000000.0,2019-12-31
OI,2021,537000000.0,2019-12-31
OI,2022,583000000.0,2019-12-31
OI,2023,1080000000.0,2019-12-31
OI,2024,2063000000.0,2019-12-31
OI,2025,1172000000.0,2019-12-31
PENN,2020,62900000.0,2019-12-31
PENN,2021,81400000.0,2019-12-31
PENN,2022,99900000.0,2019-12-31
PENN,2023,683100000.0,2019-12-31
PENN,2024,21300000.0,2019-12-31
PENN,2025,1470400000.0,2019-12-31
RHP,2020,5000000.0,2019-12-31
RHP,2021,5000000.0,2019-12-31
RHP,2022,5000000.0,2019-12-31
RHP,2023,1205000000.0,2019-12-31
RHP,2024,366250000.0,2019-12-31
RHP,2025,1000000000.0,2019-12-31
RITM,2021,1783428000.0,2019-12-31
RITM,2022,1863618000.0,2019-12-31
RITM,2023,782215000.0,2019-12-31
RITM,2024,389177000.0,2019-12-31
RITM,2025,1121519000.0,2019-12-31
RUN,2020,38739000.0,2019-12-31
RUN,2021,99307000.0,2019-12-31
RUN,2022,316716000.0,2019-12-31
RUN,2023,218334000.0,2019-12-31
RUN,2024,534077000.0,2019-12-31
RUN,2025,1096136000.0,2019-12-31
SABR,2020,81614000.0,2019-12-31
SABR,2021,75870000.0,2019-12-31
SABR,2022,389323000.0,2019-12-31
SABR,2023,1048817000.0,2019-12-31
SABR,2024,1768185000.0,2019-12-31
SABR,2025,0.0,2019-12-31
SAFE,2020,0.0,2019-12-31
SAFE,2021,159083000.0,2019-12-31
SAFE,2022,845946000.0,2019-12-31
SAFE,2023,491875000.0,2019-12-31
SAFE,2024,775000000.0,2019-12-31
SAFE,2025,1164134000.0,2019-12-31
SLG,2020,468824000.0,2019-12-31
SLG,2021,601546000.0,2019-12-31
SLG,2022,1338805000.0,2019-12-31
SLG,2023,1597301000.0,2019-12-31
SLG,2024,478781000.0,2019-12-31
SLG,2025,1066626000.0,2019-12-31
TRN,2020,219300000.0,2019-12-31
VAC,2020,9000000.0,2019-12-31
VAC,2021,9000000.0,2019-12-31
VAC,2022,239000000.0,2019-12-31
VAC,2023,39000000.0,2019-12-31
VAC,2024,9000000.0,2019-12-31
VAC,2025,1948000000.0,2019-12-31
VSAT,2020,19937000.0,2019-03-31
VSAT,2021,19937000.0,2019-03-31
VSAT,2022,19937000.0,2019-03-31
VSAT,2023,19937000.0,2019-03-31
VSAT,2024,19937000.0,2019-03-31
VSAT,2025,1339875000.0,2019-03-31
