ticker,period_end,fiscal_year,frequency,total_debt,short_term_debt,long_term_debt,capital_lease_obligations,cash_and_equivalents,net_debt,total_assets,total_liab,total_equity,current_assets,current_liab,working_capital,revenue,ebit,ebitda,operating_income,net_income,dep_amort,interest_expense,cfo,capex,fcf,dividends_paid,net_borrowings,stock_buybacks,avg_debt,interest_coverage_ebit,interest_coverage_ebitda,net_debt_to_ebitda,debt_to_equity,debt_to_assets,cash_to_st_debt,fcf_to_debt,fcf_minus_interest,implied_cost_of_debt
AAP,2018-12-31,2018,annual,1045930000.0,210000.0,1045720000.0,,896527000.0,149193000.0,9040648000.0,5489835000.0,3550813000.0,6082454000.0,3885950000.0,2196504000.0,9580554000.0,611852000.0,850036000.0,604275000.0,423847000.0,238184000.0,56588000.0,811028000.0,-193715000.0,617313000.0,17819000.0,32014000.0,-281354000.0,,10.812398388350887,15.021488654838482,0.17551374294735753,0.29456071046264615,0.11569192827770752,4269.176190476191,0.5902048894285469,560725000.0,
AAP,2019-12-31,2019,annual,2764479000.0,477982000.0,747320000.0,2017159000.0,418665000.0,2345814000.0,11248525000.0,7699444000.0,3549081000.0,5695543000.0,4477702000.0,1217841000.0,9709003000.0,677644000.0,916015000.0,677180000.0,486896000.0,238371000.0,39898000.0,866909000.0,-471648000.0,395261000.0,17185000.0,-369386000.0,-498435000.0,1905204500.0,16.984410246127627,22.958920246628903,2.5608903784326675,0.7789281225196044,0.24576368901700446,0.8759011845634355,0.14297847804233638,355363000.0,0.020941583961196816
AAP,2020-12-31,2020,annual,3047483000.0,462588000.0,1032984000.0,2014499000.0,834992000.0,2212491000.0,11839636000.0,8280124000.0,3559512000.0,6270001000.0,4743915000.0,1526086000.0,10106321000.0,697901000.0,947982000.0,749907000.0,493021000.0,250081000.0,46886000.0,969688000.0,-267806000.0,701882000.0,56347000.0,244524000.0,-469691000.0,2905981000.0,14.885061638868745,20.218871304867125,2.3338955802958283,0.856151910711356,0.2573966801006382,1.8050446617724627,0.23031531266950464,654996000.0,0.01613431058220959
AAP,2021-12-31,2021,annual,3371971000.0,465121000.0,1034320000.0,2337651000.0,601428000.0,2770543000.0,12194209000.0,9065918000.0,3128291000.0,6275476000.0,5180307000.0,1095169000.0,10997989000.0,820284000.0,1080217000.0,822365000.0,596615000.0,259933000.0,37791000.0,1112262000.0,-289639000.0,822623000.0,160925000.0,332537000.0,-906208000.0,3209727000.0,21.705802968960864,28.583975020507527,2.5648022573242226,1.0778955666208803,0.2765223230141455,1.293057075470684,0.2439590969198727,784832000.0,0.01177389852781872
AAP,2022-12-31,2022,annual,3651601000.0,185000000.0,1188283000.0,2278318000.0,270805000.0,3380796000.0,11986447000.0,9387255000.0,2599192000.0,6014817000.0,5420851000.0,676463000.0,9148874000.0,511034000.0,759361000.0,524618000.0,464402000.0,248327000.0,50841000.0,722222000.0,-425961000.0,296261000.0,336230000.0,332537000.0,-618480000.0,3511786000.0,10.051611888043114,14.935996538227021,4.4521591179952615,1.4048985223100101,0.3046441535177188,1.4638108108108108,0.08113181040316289,245420000.0,0.014477248898423766
AAP,2023-12-31,2023,annual,3826269000.0,445061000.0,1786361000.0,2215766000.0,488049000.0,3338220000.0,12276326000.0,9756598000.0,2519728000.0,6377021000.0,5307405000.0,1069616000.0,9209000000.0,41000000.0,310000000.0,55000000.0,30000000.0,269000000.0,88000000.0,287375000.0,-225672000.0,61703000.0,209293000.0,414571000.0,-14518000.0,3738935000.0,0.4659090909090909,3.522727272727273,10.768451612903226,1.5185246185302541,0.31167867324474763,1.0965890069001778,0.016126153179507243,-26297000.0,0.023536113893394776
AAP,2024-12-31,2024,annual,3686000000.0,0.0,1789161000.0,1897165000.0,1869000000.0,1817000000.0,10798000000.0,8628000000.0,2170000000.0,6143000000.0,4665000000.0,1478183000.0,9094000000.0,-687000000.0,-395000000.0,-404000000.0,-336000000.0,292000000.0,81000000.0,84633000.0,-180800000.0,-96167000.0,59855000.0,0.0,-6501000.0,3756134500.0,-8.481481481481481,-4.8765432098765435,,1.6986175115207374,0.34135951102055934,,-0.026089799240368965,-177167000.0,0.021564722988487234
AAP,2025-12-31,2025,annual,5224000000.0,435000000.0,3412000000.0,1812000000.0,3123000000.0,2101000000.0,11826000000.0,9628000000.0,2198000000.0,7290000000.0,4176000000.0,3114000000.0,8601000000.0,48000000.0,320000000.0,161000000.0,44000000.0,272000000.0,139000000.0,-46000000.0,-252000000.0,-298000000.0,60000000.0,1650000000.0,,4455000000.0,0.34532374100719426,2.302158273381295,6.565625,2.3767060964513194,0.4417385421951632,7.179310344827586,-0.057044410413476264,-437000000.0,0.031200897867564536
AAT,2018-12-31,2018,annual,1290772000.0,62337000.0,1228435000.0,,47956000.0,1242816000.0,2198250000.0,1395779000.0,802977000.0,66561000.0,117797000.0,-63580000.0,330867000.0,-151186000.0,186628000.0,79535000.0,27202000.0,337814000.0,52248000.0,136507000.0,-54411000.0,82096000.0,51495000.0,-35851000.0,-527000.0,,-2.8936227224008575,3.5719644771091716,6.659322288188267,1.607483153315724,0.5871816217445696,0.7693023405040346,0.06360224733725243,29848000.0,
AAT,2019-12-31,2019,annual,1408662000.0,51003000.0,1357659000.0,5380000.0,99303000.0,1258356000.0,2790333000.0,1496661000.0,1293672000.0,121467000.0,70892000.0,23928000.0,366741000.0,115015000.0,211220000.0,113685000.0,60188000.0,96205000.0,54008000.0,153816000.0,-88327000.0,65489000.0,80605000.0,64135000.0,209000000.0,1349717000.0,2.1295919123092877,3.9109020885794696,5.957560837041947,1.0888865183756007,0.5048365195121872,1.9470031174636786,0.04649021553786501,11481000.0,0.04001431411177306
AAT,2020-12-31,2020,annual,1436811000.0,99151000.0,1307600000.0,30060000.0,137333000.0,1299478000.0,2817309000.0,1563903000.0,1271442000.0,227165000.0,197570000.0,-42881000.0,344573000.0,89019000.0,197311000.0,88581000.0,35588000.0,108292000.0,53440000.0,126985000.0,-63488000.0,63497000.0,76510000.0,48872000.0,-672000.0,1422736500.0,1.6657747005988024,3.692196856287425,6.585937935543381,1.1300641319069213,0.5099941114020506,1.3850894090831156,0.0441930079878286,10057000.0,0.037561417732658156
AAT,2021-12-31,2021,annual,1649203000.0,1649203000.0,1649203000.0,27917000.0,139524000.0,1509679000.0,3017927000.0,1807804000.0,1210123000.0,229693000.0,72386000.0,157307000.0,375828000.0,95918000.0,212224000.0,99869000.0,36593000.0,116306000.0,58587000.0,168329000.0,-104588000.0,63741000.0,88936000.0,234225000.0,-865000.0,1543007000.0,1.6371891375219758,3.622373564101251,7.113611090168878,1.362839149408779,0.5464688178342286,0.08460086478135197,0.038649578008286424,5154000.0,0.037969367604942815
AAT,2022-12-31,2022,annual,1682145000.0,34057000.0,1648088000.0,25676000.0,49571000.0,1598517000.0,2987881000.0,1802356000.0,1185525000.0,144611000.0,108748000.0,35863000.0,422648000.0,114959000.0,238297000.0,114734000.0,55877000.0,123338000.0,58232000.0,179072000.0,-113781000.0,65291000.0,98248000.0,-3697000.0,-759000.0,1665674000.0,1.974155103723039,4.09220016485781,6.708086967104076,1.418903017650408,0.5629892890647251,1.455530434271956,0.03881413314547794,7059000.0,0.0349600221892159
AAT,2023-12-31,2023,annual,1712881000.0,100000000.0,1689627000.0,23254000.0,82888000.0,1629993000.0,2984681000.0,1831006000.0,1153675000.0,190179000.0,98119000.0,92060000.0,441164000.0,130437000.0,249937000.0,121747000.0,64690000.0,119500000.0,64706000.0,188751000.0,-82980000.0,105771000.0,80211000.0,39000000.0,-831000.0,1697513000.0,2.0158408802893084,3.8626557042623557,6.5216154470926675,1.4847170997031227,0.5738908111118073,0.82888,0.06175034926536052,41065000.0,0.038118117504843854
AAT,2024-12-31,2024,annual,2031153000.0,325000000.0,2010515000.0,20638000.0,425659000.0,1605494000.0,3273365000.0,2149044000.0,1175901000.0,598142000.0,101041000.0,497101000.0,457854000.0,148231000.0,273692000.0,129199000.0,72818000.0,125461000.0,74527000.0,207106000.0,-70205000.0,136901000.0,103368000.0,323273000.0,-1445000.0,1872017000.0,1.9889570222872248,3.6723871885356987,5.866061119798898,1.7273163302012668,0.6205091702269683,1.30972,0.06740063402412325,62374000.0,0.03981107009177801
AAT,2025-12-31,2025,annual,1706384000.0,0.0,1687610000.0,18774000.0,129362000.0,1577022000.0,2921276000.0,1830071000.0,1150817000.0,221411000.0,108707000.0,112704000.0,436204000.0,150260000.0,277572000.0,145932000.0,71370000.0,127312000.0,78120000.0,167115000.0,-72255000.0,94860000.0,105254000.0,-325000000.0,-2393000.0,1868768500.0,1.9234511008704558,3.5531490015360983,5.681488046344732,1.4827587705082563,0.5841228285174013,,0.05559123854888466,16740000.0,0.04180293064657287
ABG,2018-12-31,2018,annual,1958900000.0,1092400000.0,866500000.0,,8300000.0,1950600000.0,2695400000.0,2222200000.0,473200000.0,1553000000.0,1303300000.0,249700000.0,6874400000.0,310900000.0,344600000.0,310900000.0,168000000.0,33700000.0,86100000.0,10100000.0,-57900000.0,-47800000.0,,29100000.0,-110200000.0,,3.610917537746806,4.002322880371661,5.6604759141033085,4.139687235841082,0.7267566965941975,0.007597949469058953,-0.024401449793251314,-133900000.0,
ABG,2019-12-31,2019,annual,1880900000.0,921600000.0,907000000.0,69600000.0,3500000.0,1877400000.0,2911300000.0,2265000000.0,646300000.0,1602600000.0,1247000000.0,355600000.0,7210300000.0,336700000.0,372900000.0,325000000.0,184400000.0,36200000.0,92800000.0,349800000.0,-66800000.0,283000000.0,,47000000.0,-20500000.0,1919900000.0,3.6282327586206895,4.018318965517241,5.034593724859212,2.910258393934705,0.646068766530416,0.0037977430555555555,0.15045988622467968,190200000.0,0.04833585082556383
ABG,2020-12-31,2020,annual,2365200000.0,896300000.0,1165200000.0,328500000.0,1400000.0,2363800000.0,3676300000.0,2770800000.0,905500000.0,1405700000.0,1223400000.0,182300000.0,7131800000.0,412600000.0,451100000.0,370800000.0,254400000.0,38500000.0,74500000.0,652500000.0,-48800000.0,603700000.0,,255400000.0,-5100000.0,2123050000.0,5.538255033557047,6.05503355704698,5.2400798049213035,2.612037548315848,0.6433642521012976,0.0015619770166238982,0.2552426856079824,529200000.0,0.035091024705023434
ABG,2021-12-31,2021,annual,4561200000.0,802900000.0,3511700000.0,267800000.0,189900000.0,4382300000.0,8002600000.0,5887100000.0,2115500000.0,1929400000.0,1598000000.0,453500000.0,9837700000.0,799800000.0,841700000.0,791800000.0,532400000.0,41900000.0,102100000.0,1163700000.0,-82000000.0,1081700000.0,7970300000.0,2375300000.0,-10400000.0,3463200000.0,7.833496571988247,8.243878550440744,5.206486871807057,2.1560860316709998,0.569964761452528,0.23651762361439782,0.23715250372708938,979600000.0,0.02948140448140448
ABG,2022-12-31,2022,annual,3688800000.0,253600000.0,3208400000.0,242000000.0,240700000.0,3453500000.0,8021400000.0,5117900000.0,2903500000.0,1909800000.0,1033400000.0,876400000.0,15433900000.0,1479700000.0,1548700000.0,1272600000.0,997300000.0,69000000.0,160600000.0,696000000.0,-107900000.0,588100000.0,,-275600000.0,-296600000.0,4125000000.0,9.21357409713574,9.64321295143213,2.2299347840123973,1.270466678147064,0.4598698481561822,0.9491324921135647,0.15942854044675775,427500000.0,0.038933333333333334
ABG,2023-12-31,2023,annual,5479200000.0,2135900000.0,3121200000.0,248300000.0,51900000.0,5433500000.0,10159400000.0,6915300000.0,3244100000.0,3057100000.0,2875700000.0,181400000.0,14802700000.0,967000000.0,1034700000.0,953500000.0,602500000.0,67700000.0,165700000.0,313000000.0,-142300000.0,170700000.0,,1456100000.0,-279100000.0,4584000000.0,5.835847917923959,6.244417622208811,5.251280564414806,1.6889738294133967,0.5393231883772663,0.02429889039749052,0.031154183092422252,5000000.0,0.03614746945898779
ABG,2024-12-31,2024,annual,5279500000.0,2055600000.0,3023900000.0,228100000.0,83800000.0,5210100000.0,10337000000.0,6834900000.0,3502000000.0,3137900000.0,2836300000.0,301600000.0,17188600000.0,844300000.0,919300000.0,835600000.0,430300000.0,75000000.0,269000000.0,671200000.0,-308200000.0,363000000.0,,-317100000.0,-193200000.0,5379350000.0,3.1386617100371748,3.417472118959108,5.667464375067986,1.5075671045117076,0.5107381251813873,0.04076668612570539,0.06875651103324179,94000000.0,0.050006041622129065
ABG,2025-12-31,2025,annual,6325000000.0,2789000000.0,3092800000.0,249200000.0,40900000.0,6284600000.0,11767800000.0,7875900000.0,3891900000.0,3380200000.0,3559500000.0,-179300000.0,17999000000.0,940900000.0,1023300000.0,1001700000.0,492000000.0,82400000.0,278700000.0,781900000.0,-205300000.0,576600000.0,,771500000.0,-112700000.0,5802250000.0,3.376031575170434,3.6716899892357375,6.1415029805531125,1.6251702253398084,0.537483641802206,0.01466475439225529,0.09116205533596838,297900000.0,0.04803309061140075
ABM,2018-10-31,2018,annual,939100000.0,37000000.0,902000000.0,,39100000.0,900000000.0,3627500000.0,2172800000.0,1454700000.0,1171000000.0,792500000.0,378500000.0,6442200000.0,194000000.0,260000000.0,138600000.0,97800000.0,66000000.0,54100000.0,320900000.0,-50900000.0,270000000.0,46000000.0,-248700000.0,-1000000.0,,3.5859519408502774,4.805914972273568,3.4615384615384617,0.6455626589674847,0.25888352860096486,1.0567567567567568,0.2875093174315834,215900000.0,
ABM,2019-10-31,2019,annual,801500000.0,57200000.0,744200000.0,,58500000.0,743000000.0,3692600000.0,2150600000.0,1542000000.0,1275400000.0,902400000.0,373000000.0,6498600000.0,208300000.0,281000000.0,208300000.0,127400000.0,72700000.0,51100000.0,262700000.0,-59600000.0,203100000.0,47700000.0,-135800000.0,-1300000.0,870300000.0,4.076320939334638,5.499021526418787,2.6441281138790034,0.5197795071335928,0.21705573308779721,1.0227272727272727,0.25339987523393637,152000000.0,0.058715385499253134
ABM,2020-10-31,2020,annual,886100000.0,151700000.0,603000000.0,166400000.0,394200000.0,491900000.0,3776900000.0,2276500000.0,1500400000.0,1441900000.0,986900000.0,455000000.0,5987600000.0,278300000.0,326700000.0,278300000.0,200000.0,48400000.0,44600000.0,457500000.0,-38000000.0,419500000.0,49300000.0,-45300000.0,-5100000.0,843800000.0,6.239910313901345,7.325112107623318,1.5056626874808694,0.5905758464409491,0.23461039476819615,2.5985497692814765,0.4734228642365422,374900000.0,0.0528561270443233
ABM,2021-10-31,2021,annual,1032600000.0,63200000.0,852800000.0,148400000.0,62800000.0,969800000.0,4436200000.0,2826900000.0,1609300000.0,1401200000.0,1285800000.0,115400000.0,6228600000.0,206300000.0,253400000.0,206300000.0,126300000.0,47100000.0,28600000.0,314300000.0,-34300000.0,280000000.0,51000000.0,154300000.0,-43300000.0,959350000.0,7.213286713286713,8.86013986013986,3.8271507498026835,0.6416454359038091,0.23276678238131734,0.9936708860759493,0.27116017819097427,251400000.0,0.02981185177463908
ABM,2022-10-31,2022,annual,1402700000.0,211800000.0,1086300000.0,134800000.0,73000000.0,1329700000.0,4868900000.0,3151700000.0,1717200000.0,1561200000.0,1353200000.0,208000000.0,7806600000.0,348800000.0,423200000.0,348800000.0,230400000.0,74400000.0,41100000.0,20400000.0,-50800000.0,-30400000.0,51900000.0,396700000.0,-97500000.0,1217650000.0,8.48661800486618,10.29683698296837,3.1420132325141776,0.8168530165385511,0.28809381995933375,0.34466477809254015,-0.021672488771654667,-71500000.0,0.03375354165811194
ABM,2023-10-31,2023,annual,1442600000.0,64000000.0,1279800000.0,131300000.0,69500000.0,1373100000.0,4933700000.0,3133800000.0,1799900000.0,1710700000.0,1217900000.0,492800000.0,8096400000.0,413400000.0,534100000.0,409500000.0,251300000.0,120700000.0,82300000.0,243300000.0,-52600000.0,190700000.0,57500000.0,19200000.0,-138100000.0,1422650000.0,5.023086269744836,6.4896719319562575,2.5708668788616365,0.8014889716095339,0.29239718669558346,1.0859375,0.13219187577984196,108400000.0,0.057849787368643026
ABM,2024-10-31,2024,annual,1452400000.0,58200000.0,1302200000.0,118600000.0,64600000.0,1387800000.0,5097200000.0,3315400000.0,1781800000.0,1788700000.0,1348400000.0,440300000.0,8359400000.0,307800000.0,414400000.0,212000000.0,81400000.0,106600000.0,85000000.0,226700000.0,-59400000.0,167300000.0,56500000.0,17300000.0,-56100000.0,1447500000.0,3.621176470588235,4.875294117647059,3.348938223938224,0.8151307666404759,0.2849407517852939,1.1099656357388317,0.11518865326356376,82300000.0,0.05872193436960276
ABM,2025-10-31,2025,annual,1693400000.0,57600000.0,1537100000.0,111900000.0,104100000.0,1589300000.0,5460600000.0,3675000000.0,1785600000.0,1938700000.0,1305700000.0,633000000.0,8745900000.0,316400000.0,422000000.0,325200000.0,162400000.0,105600000.0,96400000.0,234400000.0,-79300000.0,155100000.0,65599999.0,229300000.0,-122200000.0,1572900000.0,3.2821576763485476,4.377593360995851,3.766113744075829,0.9483646953405018,0.3101124418562063,1.8072916666666667,0.09159088224873037,58700000.0,0.061288066628520564
ABR,2018-12-31,2018,annual,3314869000.0,478230000.0,2111059000.0,,160063000.0,3154806000.0,4612175000.0,3546609000.0,895238000.0,160063000.0,323406000.0,,347786000.0,311600000.0,367177000.0,189811000.0,115866000.0,55577000.0,153818000.0,-37735000.0,-367000.0,-38102000.0,75651000.0,-8830703000.0,-10066000.0,,2.0257707160410354,2.3870873369826677,8.592057781396983,3.7027795960403824,0.7187214275260587,0.3346987851034021,-0.011494270210979679,-191920000.0,
ABR,2019-12-31,2019,annual,4704183000.0,1532399000.0,2875021000.0,,301122000.0,4404496000.0,6239160000.0,4883133000.0,1184610000.0,5322764000.0,1532399000.0,,371811000.0,356673000.0,412864000.0,199160000.0,128628000.0,56191000.0,186399000.0,-226537000.0,-475000.0,-226537000.0,115415000.0,484528000.0,-15208000.0,4009526000.0,1.9134920251718088,2.214947505083182,10.668152224461323,3.9710816217995797,0.753976977670071,0.19650365211671372,-0.048156502414978326,-412936000.0,0.04648903635990888
ABR,2020-12-31,2020,annual,4680703000.0,1001597000.0,3589781000.0,,339528000.0,4341175000.0,7660986000.0,6178301000.0,1344371000.0,351977000.0,2234883000.0,,439377000.0,405766000.0,462628000.0,252751000.0,170949000.0,56862000.0,169216000.0,55165000.0,-131000.0,55165000.0,149365000.0,792902000.0,-28125000.0,4692443000.0,2.397917454614221,2.7339495083207264,9.383727314386505,3.481704827015757,0.6109791872743273,0.3389866383385733,0.011785622800677591,-114051000.0,0.03606138636100641
ABR,2021-12-31,2021,annual,12154824000.0,4299638000.0,7575122000.0,,406245000.0,11750244000.0,15073845000.0,12523861000.0,2418122000.0,13954697000.0,4299638000.0,,661478000.0,636097000.0,701927000.0,443389000.0,339300000.0,65830000.0,212005000.0,216847000.0,0.0,216847000.0,227062000.0,2809617000.0,-43436000.0,8417763500.0,3.000386783330582,3.3108983278696256,16.739980083398986,5.026555318548858,0.8063519294513112,0.09448353559067066,0.01784040640983366,4842000.0,0.025185430785742556
ABR,2022-12-31,2022,annual,13566696000.0,3773844000.0,9658748000.0,,535861999.0,13032339000.0,17038985000.0,13967106000.0,2936996000.0,15933608000.0,3773844000.0,,654073000.0,928928000.0,997536000.0,436122000.0,325783000.0,68608000.0,557617000.0,1099649000.0,0.0,1099649000.0,321739000.0,-542777000.0,-8188000.0,12860760000.0,1.6658889524530278,1.7889268081855467,13.064530001924743,4.619242246159001,0.7962150327616345,0.14199368044890037,0.08105503359108217,542032000.0,0.04335801305677114
ABR,2023-12-31,2023,annual,9474957000.0,588154000.0,8817699000.0,,935521000.0,8545983000.0,15738636000.0,12484031000.0,3117973000.0,999942000.0,591133000.0,,719008000.0,1331131000.0,1403967000.0,502063000.0,371434000.0,72836000.0,903228000.0,235857000.0,0.0,235857000.0,380640000.0,-1583183000.0,-37431000.0,11520826500.0,1.473748599467687,1.5543882607713666,6.087025549745827,3.0388194509702298,0.6020189424293185,1.5906055216830965,0.024892672336138306,-667371000.0,0.07839958357154324
ABR,2024-12-31,2024,annual,10044535000.0,3440815000.0,6411699000.0,,503898000.0,9540732000.0,13490981000.0,10339011000.0,3024084999.0,12148377000.0,3440815000.0,,627518000.0,1102012000.0,1179989000.0,383499000.0,264641000.0,77977000.0,804615000.0,461517000.0,-3471000.0,461517000.0,394843000.0,-2068289000.0,-11408000.0,9759746000.0,1.369614039012447,1.4665262268289803,8.085441474454424,3.3215121279069577,0.7445370355202486,0.14644728065879742,0.04594707470281103,-343098000.0,0.08244220700005922
